url,tipo,nome_popular,nome_cientifico,ordem,familia,origem,alimentacao,sociabilidade,ph,ph_min,ph_max,temperatura_ideal,temp_min_c,temp_max_c,expectativa_vida,manutencao,tamanho_adulto,iluminacao,co2,crescimento,posicionamento,companheiros_sugeridos,imagem_principal_url,imagens_galeria,raw_description_snippet
https://www.kauar.com.br/agua-doce/asiaticos/abelhinha-brachygobius-xanthozonus,peixe_ou_camarao,Peixe Abelhinha,Brachygobius doriae,,,,,o peixe Abelhinha,"6,8",6.8,6.8,7 a 8.5,7.0,8.5,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_abelhinha_2_a_3_cm_brachygobius_doriae_205_1_74682e4870656ab35821e9ce645bb0d0.jpg,,"Peixe Abelhinha
|
Brachygobius doriae
(Günther, 1868)
Origem:
o peixe Abelhinha é um peixe ornamental de água doce, ou levemente salobra, encontrado nas regiões da
Ásia: Indonésia, Malásia, Brunei e Cingapura.
Características:
O Abelhinha é um peixinho inigualável
e carismático, queridinho dos aquaristas ao redor do mundo, com um
corpo amarelo e com listras verticais, na cor preta, e seu tamanho reduzido, pois, raramente ultrapassa 4,5cm de comprimento, inspirou o nome peixe Abelhinha. Também pode ser conhecido como Bumblebee Goby, ou por seu nome científico Brachygobius doriae. O peixe Abelhi"
https://www.kauar.com.br/agua-doce/asiaticos/agulhinha-comum-dermogenys-pusilla,peixe_ou_camarao,Agulhinha Comum,Dermogenys pusilla,,,,,,"7,0 a 8,0",7.0,8.0,24ºC  a 28ºC,24.0,28.0,,,,,,,,Agulhinha,https://images.tcdn.com.br/img/img_prod/749804/agulhinha_comum_dermogenys_pusilla_203_1_ef3825e65308fdac1ce79ab1e0643378.png,,"AGULHINHA, ESSE PEIXE DE ÁGUA DOCE E VISUAL SENSACIONAL VAI TE ENCANTAR
O Agulhinha é encontrado em países como Índia, Myanmar, Tailândia, Laos, Camboja, Vietnã, Filipinas, Malásia e Indonésia). T
ambém chamado Agulha Comum, é um peixe asiático de águas salobras, muito tranquilo e que gosta de nadar próximo ao espelho d´água.
O Agulhinha possui dimorfismo sexual, sendo a fêmea maior que o macho (na fase adulta, a fêmea pode atingir até 7cm, enquanto o macho atinge o tamanho médio de 5cm). Além disso, as fêmeas possuem a nadadeira anal em formato de leque. O macho é mais colorido que a fêmea e "
https://www.kauar.com.br/agua-doce/asiaticos/agulhinha-prata-dermogenys-pusilla,peixe_ou_camarao,Agulhinha Prata,Dermogenys pusilla,,,,,,"6,5 a 7,5",6.5,7.5,15 a 20,15.0,20.0,,,,,,,,Agulhinha,https://images.tcdn.com.br/img/img_prod/749804/agulhinha_prata_3_a_4_cm_dermogenys_pusilla_201_2_b22ce03bc8b4226ffb9f62aac15fc28e.jpg,,"Agulhinha Prata
Peixes de Aquário
Peixes Ornamentais
Origem:
Ásia (encontrado em países como Índia, Mianmar, Tailândia, Laos, Camboja, Vietnã, Filipinas, Malásia e Indonésia).
Características:
o Agulhinha Prata, também chamado Agulha Comum, Wrestling Halfbeak ou Needle Gar, é um peixe asiático de águas salobras, muito tranquilo e que gosta de nadar próximo ao espelho d´água. Os Agulhinhas possuem dimorfismo sexual, sendo a fêmea maior que o macho (na fase adulta, a fêmea pode atingir até 7cm, enquanto o macho atinge o tamanho médio de 5cm). Além disso, as fêmeas possuem a nadadeira anal em for"
https://www.kauar.com.br/agua-doce/asiaticos/balashark-balantiocheilos-melanopterus,peixe_ou_camarao,Balashark,Balantiocheilos melanopterus,,,,,,"6,4 a 7,2",6.4,7.2,24 a 28ºC,24.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/balashark_balantiocheilos_melanopterus_861_1_45a5647beba85c5220d1aff38f9e5785.jpg,,"Balashark  | Balantiocheilos melanopterus
Peixes de água doce
Peixes Ornamentais
Origem:
encontrado na região do sudeste Asiático
Características:
O Balashark pode chegar a 35 cm e costuma viver em média 10 anos. Também conhecido como Tubarão Bala, esse animal tem um lindo corpo prateado e margens negras em suas nadadeiras dorsal, caudal, anal e pélvica. O formato triangular de sua nadadeira dorsal aliado ao formato de seu corpo dá ao Balashark o ""título"" de tubarão, uma vez que, são características similares aos verdadeiros tubarões. É um nadador ágil e rápido, porém, se assusta facilmente ch"
https://www.kauar.com.br/agua-doce/asiaticos/botia-blue-red-tail-modesta,peixe_ou_camarao,Botia Blue Red Tail,Yasuhikotakia modesta,,,,,,"6,8",6.8,6.8,25 e 30ºC,25.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/botia_blue_red_tail_5_a_6_cm_yasuhikotakia_modesta_71_1_03c17011dfec16cf04afad0bd1bea3b1.jpg,,"Botia Red Tail Modesta
Peixes de água doce
Peixes Ornamentais
Origem:
encontradas no sul da Ásia mais propriamente das correntes da Malásia, Tailândia e Vietname.
Características:
A Botia Modesta possui pequenas escamas corporais em um tom de azul cinzento que contrastam com o colorido de suas barbatanas, completando a beleza exótica desse peixe ornamental. O peixinho também possui um espinho eréctil a frente dos olhos e 4 barbilhos em sua sua boca.
Comportamento:
O botia-modesta é um peixe que deve ser mantido em grupos da mesma espécie.  Esse peixe é altamente territorial, e muitas brigas se"
https://www.kauar.com.br/agua-doce/asiaticos/botia-lohachata-yoyo,peixe_ou_camarao,Botia Lohachata Yoyo,Botia almorhae,,,,,,"6,2 à 8,0",6.2,8.0,24º à 30ºC,24.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/botia_lohachata_yoyo_69_1_20201211001334.jpg,,"Botia Lohachata Yo Yo
Peixes de água doce
Peixes Ornamentais
Origem:
encontradas nas regiões da Oceania, Bornéu e Sumatra.
Características:
Um dos grandes diferenciais da Botia Lohachata são suas marcações corporais. Também conhecida como Botia Pasquitanesa esse peixe ornamental é uma fofura, dócil e cheio de listras se destaca pelo seus quatro pares de barbilhões e por sua encantadora coloração prateada/dourada com listras pretas.
Comportamento:
sendo uma das espécies de Botia mais pacíficas, a Botia Lohachata pode até mesmo ser mantida em aquários comunitários. É um peixe ornamental muito tr"
https://www.kauar.com.br/agua-doce/asiaticos/goby-dardo-ctenogobius-boleosoma-sensacional,peixe_ou_camarao,Goby Dardo,Ctenogobius boleosoma,,,,,,6.8 a 8.0,6.8,8.0,22 ºC a 28ºC,22.0,28.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/goby_dardo_2_a_4_cm_ctenogobius_boleosoma_lindo_1_20250911121914_ccd4e0a5d24e.jpg,,"GOBY DARDO É UM PEIXE FANTÁSTICO, E EXÓTICO, QUE VAI SE DESTACAR BASTANTE EM SEU AQUÁRIO DE ÁGUA DOCE
O Gobb Dardo, Ctenogobius boleosoma, é um peixe excepcional, que possui uma adaptação incrível. É um peixe eurialino, ou seja, capaz de viver em vários ambientes com diferentes níveis de salinidade. Por isso a sua distribuição é muito ampla, pode ser encontrado em todo continente americano, desde a Carolina do Norte, EUA, até o Sul do Brasil. Ele possui um corpo alongado, as cores variam do cinza, marrom, dourado, com manchas escuras que distribuídas ao longo do seu corpo. O Nome popular “Dard"
https://www.kauar.com.br/agua-doce/asiaticos/labeo-bicolor,peixe_ou_camarao,Labeo Bicolor,Epalzeorynchos bicolor,,,,,,"6,8",6.8,6.8,26ºC,26.0,26.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/labeo_bicolor_2_a_3_cm_epalzeorynchos_bicolor_63_1_2baa045fe19730649bc268a216024a85.png,,"Labeo Bicolor
Peixes de água doce
Peixes Ornamentais
Origem:
Tailândia
Características:
o Labeo Bicolor é um peixinho que faz sucesso entre os aquaristas, esse sucesso se deve pela charmosa combinação das suas escamas corporais escuras e sua cauda laranja.
Comportamento:
o Labeo Bicolor é comumente taxado de agressivo e não recomendado para aquários comunitários, mas isso não significa que esse peixinho deve ser mantido sozinho, mas sim com outros peixes que sejam compatíveis. Quando atingem a maturidade esse peixe pode se  tornar territorialista.
Coabitação com outras espécies:
pacífico com o"
https://www.kauar.com.br/agua-doce/asiaticos/labeo-frenatus-albino-g-epalzeorynchos-frenatus,peixe_ou_camarao,Labeo Frenatus Albino,Epalzeorynchos frenatus,,,,,,6.5 a 7.0,6.5,7.0,15 a 20,15.0,20.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/labeo_frenatus_albino_2_a_3_cm_epalzeorynchos_frenatus_197_1_a8caec8f92bc92f64fa1a1ee97f38fe6.png,,"Labeo Frenatus Albino Grande
Peixes de Água Doce
Peixes de Aquário
Origem:
Ásia
Características:
o Labeu Frenatus Albino, também conhecido como Rainbow Sharkminnow ou Rainbow Shark, é um peixe territorialista, mas bastante sociável também. Raramente ataca os companheiros de aquário e é muito brincalhão. É um espécie muito veloz, com um visual muito bonito. Todas as suas nadadeiras são ligeiramente avermelhadas, em contraste com o corpo na coloração cinza grafite. Para que as suas cores fiquem sempre vibrantes, é muito importante que todos os parâmetros da água estejam sob controle, caso contrá"
https://www.kauar.com.br/agua-doce/asiaticos/labeo-frenatus-g,peixe_ou_camarao,Labeo Frenatus,Epalzeorhynchus Frenatus,,,,,,6.5 a 7.0,6.5,7.0,15 a 20,15.0,20.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/labeo_frenatus_3_a_5_cm_epalzeorhynchus_frenatus_59_1_04a6b18ee2ec86d663abaff3b91fcae6.png,,"Labeo Frenatus G
Peixes de água doce
Peixes Ornamentais
Origem:
encontrado na Ásia.
Características:
O Labeo Frenatus é um peixe ornamental de água doce famoso por sua velocidade e beleza. Pode alcançar até 14 cm em seu aquário. É um peixe pacífico, apesar de ser conhecido também como ""tubarãozinho"".  Suas nadadeiras vermelhas são o grande charme desse peixe ornamental.
Comportamento:
os Labeo Frenatus são pacíficos com a maioria dos outros peixes, mas se tornam agressivos e territorialistas com membros da espécie ou peixes semelhantes, por isso evita-se manter dois ou mais da mesma espécie no"
https://www.kauar.com.br/agua-doce/asiaticos/labeotropheus-trewavasae-red-top-albino-lago-malawi,peixe_ou_camarao,Trewavasae Red Top Albino,Labeotropheus trewavasae,,,,,,7.8 a 8.6,7.8,8.6,23ºC a 28ºC,23.0,28.0,,,,,,,,Aulonocaras,https://images.tcdn.com.br/img/img_prod/749804/labeotropheus_trewavasae_red_top_albino_4_a_5_cm_415_1_4c27c8670a09ebdd6de9e69edf73b519.png,,"LABEOTROPHEUS TREWAVASAE RED TOP ALBINO, UM CICLÍDEO AFRICANO DO GRUPO MBUNA
Labeotropheus Trewavasae Red Top Albino
é um ciclídeo do Lago Malawi, do grupo dos Mbunas, nome popular que significa “peixe das rochas” (na linguagem do povo africano Tonga, que habita as margens do Lago, pronuncia-se Mmm-boo-nah). Os Mbunas vivem especialmente nas áreas mais rochosas do biótopo, em fendas, cavernas e grutas subaquáticas localizadas próximas às margens do Lago.
É o grupo mais comum de ciclídeos desse lago africano. Este grande volume populacional de Mbunas na natureza também é responsável por parte d"
https://www.kauar.com.br/agua-doce/asiaticos/labeotropheus-trewavasae-red-top-lago-malawi,peixe_ou_camarao,Trewavasae Red Top,Labeotropheus Trewavasae,,,,,,7.8 a 8.6,7.8,8.6,23ºC a 28ºC,23.0,28.0,,,,,,,,Aulonocaras,https://images.tcdn.com.br/img/img_prod/749804/labeotropheus_trewavasae_red_top_4_a_5_cm_413_1_2c23052223f8bc6349b1aeaa1b68b119.jpg,,"LABEOTROPHEUS TREWAVASAE RED TOP, UM CICLÍDEO AFRICANO DO GRUPO MBUNA
Labeotropheus Trewavasae Red Top
é um ciclídeo do Lago Malawi, do grupo dos Mbunas, nome popular que significa “peixe das rochas” (na linguagem do povo africano Tonga, que habita as margens do Lago, pronuncia-se Mmm-boo-nah). Os Mbunas vivem especialmente nas áreas mais rochosas do biótopo, em fendas, cavernas e grutas subaquáticas localizadas próximas às margens do Lago.
É o grupo mais comum de ciclídeos desse lago africano. Este grande volume populacional de Mbunas na natureza também é responsável por parte do seu territor"
https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-maca-glossolepis-incisus,peixe_ou_camarao,Melanotaenia Maçã,Glossolepis Incisus,,,,,,"7,2 a 8,2",7.2,8.2,26 a 30,26.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/peixe_arco_iris_vermelho_melanotaenia_maca_glossolepis_incisus_863_1_873f53b12fe25bf6604878773241c307.jpg,,"PEIXE ARCO-ÍRIS VERMELHO (MELANOTAENIA MAÇÃ): QUE TAL UM PARA CHAMAR DE SEU?
O Peixe Arco-Íris Vermelho (Melanotaenia Maçã) é um peixe ornamental muito pacífico que se destaca pela sua coloração bastante chamativa, daí vem o motivo de seu nome. Apesar de sua distribuição reduzida é um popular peixe de aquário. Na época da reprodução, os machos adquirem um tom vermelho-vivo e as fêmeas são prateadas com laivos amarelos.
O Peixe Arco-Íris Vermelho
(Melanotaenia Maçã)
um peixe muito sociável e de hábitos tranquilos. Espécie bastante sociável, por isso aconselha-se a mantê-lo em grupos de pelo men"
https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-neon-melanotaenia-praecox,peixe_ou_camarao,Melanotaenia Blue Neon Anã,Melanotaenia praecox,,,,,,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/melanotaenia_neon_melanotaenia_praecox_871_1_3b3aaa8d4e4379414f3bcc47e539852e.jpg,,"Melanotaenia Neon | Melanotaenia praecox
Peixe ornamental
Peixe de aquário
Imagens Ilustrativas de um peixe aclimatado: @betta.solutions
Origem:
encontrado nas regiões da Ásia.
Características:
O Melanotaenia Neon  é um peixe ornamental que se destaca pela sua coloração bastante chamativa, daí vem o motivo de seu nome. Apesar de seu tamanho reduzido, o Arco Íris Neon possui um corpo robusto que se destaca.
Comportamento e Coabitação com outras espécies:
é um peixe muito sociável e de hábitos tranquilos. Espécie bastante sociável, por isso aconselha-se a mantê-lo em grupos de pelo menos 6 espéc"
https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-rainbow-blue-lacustri-melanotaenia-lacustri,peixe_ou_camarao,Melanotaenia Lacustri,Rainbow Blue,,,,,,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://images.tcdn.com.br/img/img_prod/749804/melanotaenia_rainbow_blue_lacustri_4_a_6_cm_mel_1_20251031100542_2ed801c4b2aa.jpg,,"Imagens Ilustrativas de um peixe aclimatado
Conheça e se apaixone pela Melanotaenia Lacustri, um perfeito peixe arco-íris, que dará brilho e movimento ao seu aquário
O Melanotaenia Lacustri é um peixe ornamental que se destaca pela sua coloração bastante chamativa. Possui uma base com um brilho metálico, e r
ealces com varias cores, que lembram um arco-íris. Possui um corpo robusto, principalmente os machos, esses também possuem cores mais fortes. As fêmeas são mais alongadas, mas igualmente bonitas. São peixes tranquilos e curiosos, que nadam por todo aquário.
Comportamento e Coabitação com o"
