ordem_pixelart,metadata_linha,pixel_art_file,imagem_referencia_file,nome_popular,nome_cientifico,tipo,ph,ph_min,ph_max,temperatura_ideal,temp_min_c,temp_max_c,origem,tamanho_adulto,expectativa_vida,manutencao,iluminacao,co2,crescimento,posicionamento,url
1,2,agulhinha_comum_pixel_64.png,dermogenys_pusilla_agulhinha_comum_1.jpg,Agulhinha Comum,Dermogenys pusilla,peixe_ou_camarao,"7,0 a 8,0",7.0,8.0,24ºC  a 28ºC,24.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/agulhinha-comum-dermogenys-pusilla
2,3,agulhinha_prata_pixel_64.png,dermogenys_pusilla_agulhinha_prata_2.jpg,Agulhinha Prata,Dermogenys pusilla,peixe_ou_camarao,"6,5 a 7,5",6.5,7.5,15 a 20,15.0,20.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/agulhinha-prata-dermogenys-pusilla
3,4,balashark_pixel_64.png,balantiocheilos_melanopterus_balashark_3.jpg,Balashark,Balantiocheilos melanopterus,peixe_ou_camarao,"6,4 a 7,2",6.4,7.2,24 a 28ºC,24.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/balashark-balantiocheilos-melanopterus
4,5,botia_blue_red_tail_pixel_64.png,yasuhikotakia_modesta_botia_blue_red_tail_4.jpg,Botia Blue Red Tail,Yasuhikotakia modesta,peixe_ou_camarao,"6,8",6.8,6.8,25 e 30ºC,25.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/botia-blue-red-tail-modesta
5,6,botia_lohachata_yoyo_pixel_64.png,botia_almorhae_botia_lohachata_yoyo_5.jpg,Botia Lohachata Yoyo,Botia almorhae,peixe_ou_camarao,"6,2 à 8,0",6.2,8.0,24º à 30ºC,24.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/botia-lohachata-yoyo
6,7,goby_dardo_pixel_64.png,ctenogobius_boleosoma_goby_dardo_6.jpg,Goby Dardo,Ctenogobius boleosoma,peixe_ou_camarao,6.8 a 8.0,6.8,8.0,22 ºC a 28ºC,22.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/goby-dardo-ctenogobius-boleosoma-sensacional
7,8,labeo_bicolor_pixel_64.png,epalzeorynchos_bicolor_labeo_bicolor_7.jpg,Labeo Bicolor,Epalzeorynchos bicolor,peixe_ou_camarao,"6,8",6.8,6.8,26ºC,26.0,26.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/labeo-bicolor
8,9,labeo_frenatus_albino_pixel_64.png,epalzeorynchos_frenatus_labeo_frenatus_albino_8.jpg,Labeo Frenatus Albino,Epalzeorynchos frenatus,peixe_ou_camarao,6.5 a 7.0,6.5,7.0,15 a 20,15.0,20.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/labeo-frenatus-albino-g-epalzeorynchos-frenatus
9,10,labeo_frenatus_pixel_64.png,epalzeorhynchus_frenatus_labeo_frenatus_9.jpg,Labeo Frenatus,Epalzeorhynchus Frenatus,peixe_ou_camarao,6.5 a 7.0,6.5,7.0,15 a 20,15.0,20.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/labeo-frenatus-g
10,11,trewavasae_red_top_albino_pixel_64.png,labeotropheus_trewavasae_trewavasae_red_top_albino_10.jpg,Trewavasae Red Top Albino,Labeotropheus trewavasae,peixe_ou_camarao,7.8 a 8.6,7.8,8.6,23ºC a 28ºC,23.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/labeotropheus-trewavasae-red-top-albino-lago-malawi
11,12,trewavasae_red_top_pixel_64.png,labeotropheus_trewavasae_trewavasae_red_top_11.jpg,Trewavasae Red Top,Labeotropheus Trewavasae,peixe_ou_camarao,7.8 a 8.6,7.8,8.6,23ºC a 28ºC,23.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/labeotropheus-trewavasae-red-top-lago-malawi
12,13,melanotaenia_maca_pixel_64.png,glossolepis_incisus_melanotaenia_maçã_12.jpg,Melanotaenia Maçã,Glossolepis Incisus,peixe_ou_camarao,"7,2 a 8,2",7.2,8.2,26 a 30,26.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-maca-glossolepis-incisus
13,14,melanotaenia_blue_neon_ana_pixel_64.png,melanotaenia_praecox_melanotaenia_blue_neon_anã_13.jpg,Melanotaenia Blue Neon Anã,Melanotaenia praecox,peixe_ou_camarao,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-neon-melanotaenia-praecox
14,15,melanotaenia_lacustri_pixel_64.png,rainbow_blue_melanotaenia_lacustri_14.jpg,Melanotaenia Lacustri,Rainbow Blue,peixe_ou_camarao,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/melanotaenia-rainbow-blue-lacustri-melanotaenia-lacustri
15,16,melanotaenia_trifasciata_gold_pixel_64.png,melanotaenia_papue_melanotaenia_trifasciata_gold_15.jpg,Melanotaenia Trifasciata Gold,Melanotaenia papue,peixe_ou_camarao,"6,6 a 7,4",6.6,7.4,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/peixe-arco-iris-melanotaenia-papue
16,17,peixe_lapis_pixel_64.png,nannostomus_trifasciatus_peixe_lápis_16.jpg,Peixe Lápis,Nannostomus trifasciatus,peixe_ou_camarao,5.,5.0,5.0,24°C a 28°C,24.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/peixe-lapis-nannostomus-trifasciatus
17,18,peixe_paraiso_albino_pixel_64.png,macropodus_opercularis_peixe_paraíso_albino_17.jpg,Peixe Paraíso Albino,Macropodus opercularis,peixe_ou_camarao,"6,6 a 7,8",6.6,7.8,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/peixe-paraiso-albino-macropodus-opercularis
18,19,peixe_paraiso_pixel_64.png,macropodus_opercularis_peixe_paraíso_18.jpg,Peixe Paraíso,Macropodus opercularis,peixe_ou_camarao,"6,6 a 7,8",6.6,7.8,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/peixe-paraiso-macropodus-opercularis
19,20,tetra_vidro_pixel_64.png,parambassis_ranga_tetra_vidro_19.jpg,Tetra Vidro,Parambassis ranga,peixe_ou_camarao,"6,6 a 8,0",6.6,8.0,22 a 30,22.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/peixe-vidro-indiano-parambassis-ranga
20,21,pseudomugil_luminatus_pixel_64.png,pseudomugil_luminatus_pseudomugil_luminatus_20.jpg,Pseudomugil  Luminatus,Pseudomugil luminatus,peixe_ou_camarao,6.0 a 7.4,6.0,7.4,22ºC a 28ºC,22.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/asiaticos/pseudomugil-lumnatus-pseudomugil-luminatus
21,22,aulonocara_fire_fish_pixel_64.png,none_aulonocara_fire_fish_21.jpg,Aulonocara Fire Fish,,peixe_ou_camarao,"7,0 a 8,6",7.0,8.6,23ºC e 28ºC,23.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/aulonocara-fire-fish-peixes-de-aquario-ciclideos-africanos
22,23,barbo_five_banded_pixel_64.png,barbus_pentazona_barbo_five_banded_22.jpg,Barbo Five Banded,Barbus Pentazona,peixe_ou_camarao,5.0 a 6.8,5.0,6.8,23ºC a 30ºC,23.0,30.0,,,,,,,,,https://www.kauar.com.br/agua-doce/barbos-e-danios/barbo-five-banded-barbus-pentazona-desmopuntius-pentazona
23,24,barbo_conchonio_cereja_pixel_64.png,none_barbo_conchônio_cereja_23.jpg,Barbo Conchônio Cereja,,peixe_ou_camarao,"6,0 a 8,0",6.0,8.0,23ºC e 27ºC,23.0,27.0,,,,,,,,,https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-cereja
24,25,barbus_denisoni_gold_pixel_64.png,none_barbus_denisoni_gold_24.jpg,Barbus Denisoni Gold,,peixe_ou_camarao,"6,6 e 7,6",6.6,7.6,15°C e 28°C,15.0,28.0,,,,,,,,,https://www.kauar.com.br/agua-doce/barbos-e-danios/barbus-denisoni-gold
